group_id,group_name,retailer,description,os,form_factor,processor,ram_gb,storage_gb,url,sku,display_name
g1_ultra5_322_16in,"16"" Touchscreen Laptop / Core Ultra 5 322 / 16GB / 512GB",Best Buy,"Acer Swift Go 16 AI, Intel Core Ultra 5 322, 16GB RAM, 512GB SSD, 16"" 1920x1200 OLED Touch",Windows,Clamshell,Intel Core Ultra 5 322,16,512,https://www.bestbuy.com/product/acer-swift-go-16-ai-copilot-pc-16-2k-oled-touchscreen-laptop-intel-core-ultra-5-322-16gb-memory-512gb-storage-vapor-silver/JJ8V8QFST6/sku/6671809,6671809,Acer Swift Go 16 AI
g1_ultra5_322_16in,"16"" Touchscreen Laptop / Core Ultra 5 322 / 16GB / 512GB",Best Buy,"Lenovo Yoga 7i 2-in-1 16"", Intel Core Ultra 5 322, 16GB RAM, 512GB SSD, 16"" 1920x1200 LCD Touch",Windows,2-in-1,Intel Core Ultra 5 322,16,512,https://www.bestbuy.com/product/lenovo-yoga-7i-2-in-1-16-2k-touchscreen-laptop-intel-core-ultra-5-processor-322-2026-16gb-memory-512gb-ssd-luna-grey/JJGH36LG37/sku/12915894,12915894,Lenovo Yoga 7i 2-in-1 16"
g1_ultra5_322_16in,"16"" Touchscreen Laptop / Core Ultra 5 322 / 16GB / 512GB",Best Buy,"Dell 16S, Intel Core Ultra 5 322, 16GB RAM, 512GB SSD, 16"" 1920x1200 LED Touch",Windows,Clamshell,Intel Core Ultra 5 322,16,512,https://www.bestbuy.com/product/dell-16s-16-2k-touchscreen-laptop-intel-core-ultra-5-322-2026-16gb-memory-512gb-storage-copilot-pc-celestial-blue/J3K4L6QKP9/sku/6679148,6679148,Dell 16S
